slope,hillshade_index_noon
3,232
2,235
9,238
18,238
2,234
6,237
7,225
4,230
9,221
10,219
4,243
11,240
22,224
7,247
4,240
7,225
1,239
7,227
4,232
5,228
9,223
17,253
23,209
8,222
9,221
6,237
10,243
16,236
1,238
24,210
30,201
7,231
6,233
6,227
9,220
19,195
28,207
7,229
30,183
12,219
3,234
2,235
9,223
27,197
5,236
8,225
7,229
6,232
6,227
7,231
30,198
25,205
2,234
14,215
7,227
24,212
11,219
5,230
4,232
6,227
5,230
11,226
8,228
7,224
14,210
10,221
7,226
13,214
6,227
8,225
12,244
14,208
16,223
9,223
10,218
18,221
28,233
5,234
7,230
26,231
10,223
16,235
26,187
14,210
7,224
17,206
26,197
7,226
10,221
11,234
6,233
16,206
12,218
12,246
10,221
10,218
11,243
5,231
3,233
9,221
8,222
12,220
11,216
15,219
5,242
6,245
4,230
16,203
14,216
1,237
11,226
12,227
6,233
5,231
7,231
15,222
14,209
6,227
4,232
13,211
6,232
11,220
12,231
19,220
33,190
11,228
6,230
10,222
20,221
5,229
12,219
12,233
13,211
18,200
12,216
7,234
12,221
7,226
13,219
9,224
18,254
24,232
8,231
23,224
5,238
3,238
16,212
11,251
6,229
5,228
6,231
24,228
6,227
11,217
17,254
20,253
10,223
3,233
14,209
13,212
11,245
15,242
13,223
12,213
16,219
10,250
4,242
33,226
15,251
14,250
16,230
13,211
12,225
20,199
7,226
7,227
12,222
21,233
9,221
3,232
3,237
4,236
11,215
12,221
3,238
10,231
24,182
15,221
5,234
4,242
12,219
15,246
4,241
7,233
11,234
9,227
22,188
4,242
8,228
12,232
20,217
4,231
10,224
15,205
14,250
5,230
11,215
21,227
17,202
10,219
18,200
5,245
21,214
18,224
12,216
16,204
10,221
13,213
25,176
13,244
17,201
8,245
10,218
13,252
12,217
4,231
17,244
8,222
8,227
14,249
13,241
4,243
16,252
13,211
9,231
18,205
5,234
14,210
24,187
11,217
7,225
1,238
7,225
3,234
20,195
13,215
24,181
15,252
10,240
16,208
6,234
9,234
7,229
6,245
13,218
10,229
5,231
16,210
7,237
20,192
11,233
4,231
12,220
8,224
8,245
10,217
10,246
8,239
9,245
12,251
2,238
3,233
5,239
8,240
13,226
2,237
17,220
15,225
19,241
3,238
10,221
11,217
10,218
7,227
19,196
9,223
5,234
13,223
14,215
9,225
13,213
12,220
14,222
11,240
5,234
13,216
7,227
4,234
17,201
16,203
10,245
8,248
6,244
14,229
21,192
10,219
14,212
8,247
9,247
7,230
6,231
18,200
6,228
7,225
10,221
9,238
17,200
12,233
9,249
5,230
9,220
7,231
11,220
7,225
5,244
2,236
6,244
12,214
9,227
5,241
8,223
16,252
4,240
11,240
17,201
3,240
14,212
10,219
6,235
9,224
9,246
4,230
12,213
13,217
7,245
15,238
10,248
13,211
8,231
6,234
10,223
16,203
5,229
9,242
10,241
5,230
9,230
5,235
14,238
20,193
3,235
9,234
11,224
12,222
8,229
2,234
19,197
5,228
8,228
15,247
6,227
6,240
8,231
24,250
11,251
9,248
11,221
10,231
3,233
18,249
12,237
7,224
3,238
9,246
18,237
17,234
20,217
26,200
9,234
19,234
18,236
19,235
16,220
14,234
14,232
16,231
15,225
14,220
11,231
18,244
8,234
8,231
3,234
8,247
16,228
23,208
10,249
16,244
13,236
10,218
12,216
20,225
23,218
25,210
4,234
13,235
5,232
14,208
18,224
24,217
14,214
13,211
15,232
4,231
16,229
15,213
19,218
22,208
11,218
12,214
8,225
8,235
9,243
11,218
6,230
12,214
14,212
15,209
9,233
7,229
11,219
14,213
1,236
8,241
6,228
6,234
14,247
1,239
5,230
8,226
4,231
4,240
1,237
3,235
23,190
5,236
7,225
13,214
5,245
11,225
8,236
3,237
6,232
8,228
14,250
8,224
1,239
27,215
4,238
12,219
14,215
8,228
16,203
9,245
16,244
18,232
6,239
14,245
31,164
13,219
6,233
9,241
6,246
5,244
10,229
8,225
12,246
12,214
10,219
6,230
5,239
12,242
9,230
1,237
7,229
5,230
3,233
3,241
12,237
10,222
14,211
7,230
7,242
12,242
33,156
17,254
13,229
15,225
24,195
9,222
21,253
13,229
17,226
8,228
11,216
6,239
9,220
10,233
5,230
3,242
3,238
2,239
7,234
10,224
7,244
12,248
9,224
7,229
11,217
10,218
5,229
13,217
22,210
7,246
14,252
15,207
2,234
7,225
10,219
